,produk,brand,harga,gambar
58,btw small tortora shw 2015 satchel,Fendi,"IDR 15,875,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/64408622-48fd-40e0-aa1e-ce3de88429d9/product_list/260x260/IMG-20250123-WA3607-Photoroom_3893-SA-2565
59,executive beige shw #15 tote bag,Chanel,"IDR 24,750,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/dd4d8def-7224-4edd-a1de-8f898a61fc7e/product_list/260x260/IMG-20250123-WA2342-Photoroom_3893-TB-2564
60,#p kelly 32 rosse jaipur/gold empsom ghw handbag,Hermes,"IDR 118,800,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/34495612-8afc-4d21-a7a4-8d1607f5a0af/product_list/260x260/IMG-20250123-WA1684-Photoroom_3893-HB-2563
61,#x constance 24 capucine epsom ghw shoulder bag,Hermes,"IDR 139,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/d6151dda-4565-4815-bbf0-ff9cb0b595ff/product_list/260x260/IMG-20250123-WA1657-Photoroom_3893-SB-2562
62,#25 classic medium beige caviar shw shoulder bag,Chanel,"IDR 97,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/6e5afc44-84c0-4678-badd-75776f98897f/product_list/260x260/IMG-20250123-WA1639-Photoroom_3893-SB-2561
63,lady dior mini green shw 2019 satchel,Christian Dior,"IDR 48,400,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/4a6366e7-8fc5-4620-98c3-9aea4864a29f/product_list/260x260/IMG-20250123-WA1590-Photoroom_3893-SA-2560
64,otg pmtourterelle chip 2023 taupe satchel,Louis Vuitton,"IDR 39,600,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/a6ee0c2e-0548-45a0-a0e4-1c53372658b3/product_list/260x260/IMG-20250123-WA1535-Photoroom_3893-SA-2559
65,caro macrocannage lambskin pink ghw 2022 sling bag,Christian Dior,"IDR 47,850,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/6f05fa51-259f-474a-8656-d6d9ccb98626/product_list/260x260/IMG-20250123-WA1521-Photoroom_3893-CB-2558
66,reissue mini black ghw #17 shoulder bag,Chanel,"IDR 45,650,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/7ce7d48c-c35c-48fe-9e96-bf9cee251ece/product_list/260x260/IMG-20250123-WA1505-Photoroom_3893-SB-2557
67,puzzle medium grained caramel ghw 2018 satchel,Loewe,"IDR 33,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/c3e35329-6a64-489a-8fa5-90abe833a602/product_list/260x260/IMG-20250123-WA1469-Photoroom_3893-SA-2556
68,reissue medium black caviar ghw df seri 19 shoulder bag,Chanel,"IDR 66,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/1ae1be05-6a17-4cb7-a9dc-aa824adef869/product_list/260x260/IMG-20250123-WA1446-Photoroom_3893-SB-2555
69,neverfull pm monogram brown 2009 tote bag,Louis Vuitton,"IDR 20,900,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/34eb3962-3034-48f2-a429-c8cdf385c2b2/product_list/260x260/IMG-20250123-WA0199-Photoroom_3893-TB-2554
70,envelope edge black chevre ghw 2016 clutch,Balenciaga,"IDR 12,075,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/af0b3a18-54b3-4440-8950-666626b3d67c/product_list/260x260/IMG-20250211-WA1492-Photoroom_3893-CL-2553
71,saffiano black logo multipochette crossbody 2019 sling bag,Prada,"IDR 20,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/2ccfde26-e84a-4b21-b462-2a05b82375e2/product_list/260x260/IMG-20250211-WA1454-Photoroom_3893-CB-2552
72,interlock nude ghw sling bag,Gucci,"IDR 14,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/ef8708a1-4c4e-4ac5-98b5-c6b23fbda3eb/product_list/260x260/IMG-20250211-WA1456-Photoroom_3893-CB-2551
73,lady dior small pin ghw red 2017 satchel,Christian Dior,"IDR 43,725,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/eafbaa78-a695-466d-84e2-e2ff6e07d129/product_list/260x260/IMG-20250211-WA1178-Photoroom_3893-SA-2550
74,vintage seri 2 vanity case black lamb ghw sling bag,Chanel,"IDR 20,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/96bf365b-cf36-4404-a6cc-936927595db7/product_list/260x260/IMG-20250211-WA1164-Photoroom_3893-CB-2549
75,#p lindy 30 gold phw shoulder bag,Hermes,"IDR 86,350,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/ca16e05e-38fb-4425-a3cd-3fcd64d99aeb/product_list/260x260/IMG-20250211-WA1149-Photoroom_3893-SB-2548
76,felicie monogram 2017 sling bag,Louis Vuitton,"IDR 15,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/25e2a816-724b-44a7-8f20-566b8cc49c52/product_list/260x260/IMG-20250211-WA1131-Photoroom_3893-CB-2547
77,reissue 3 compartment black calfskin rhw seri 15 shoulder bag,Chanel,"IDR 37,400,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/65027ff9-3fc4-4e3e-8b39-f938dfd98516/product_list/260x260/IMG-20250211-WA1469-Photoroom_3893-SB-2546
78,vela camera studded black 2020 shoulder bag,Prada,"IDR 15,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/df2a3910-fb37-4ca2-b52f-12c22773fb45/product_list/260x260/IMG-20250211-WA1115-Photoroom_3893-SB-2545
79,aphrodite pink ghw small 2023 shoulder bag,Gucci,"IDR 20,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/a4519ef1-7f9e-456e-ba7e-9d8f5e3ef145/product_list/260x260/IMG-20250211-WA1083-Photoroom_3893-SB-2544
80,kelly to go ktg etoupe ghw evercolor #w sling bag,Hermes,"IDR 111,780,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/2c368c35-43ed-44b1-b1c5-f77b8eefa5c7/product_list/260x260/IMG-20250211-WA1072-Photoroom_3893-CB-2543
81,horsebit navy ghw sling bag,Gucci,"IDR 25,850,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/8dd5ae51-d7e5-4d72-b2c9-1698510920bd/product_list/260x260/IMG-20250211-WA1048-Photoroom_3893-CB-2542
82,vintage cambon flap handbag black #3 handbag,Chanel,"IDR 19,375,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/fc5fc55f-760b-40b1-8fdc-ef916379e9d4/product_list/260x260/IMG-20250211-WA1049-Photoroom_3893-HB-2541
